ApplicantIncome,LoanAmount
4583,128
3000,66
2583,120
6000,141
2333,95
3200,70
2500,109
1853,114
1299,17
4950,125
3596,100
3510,76
4887,133
2600,115
7660,104
2600,116
3365,112
2799,122
4226,110
1442,35
3750,120
3167,74
4692,106
3500,114
1828,100
3667,144
3748,110
3600,80
1800,47
2400,75
3941,134
4695,96
3410,88
5649,44
5821,144
2645,120
4000,144
1928,100
3086,120
4230,112
4616,134
2708,97
2132,96
3366,135
3357,144
2500,120
3029,99
4166,116
3200,126
7100,125
4300,136
1875,97
3500,81
4755,95
3750,113
1000,110
3333,130
3846,111
3988,50
2366,136
3333,99
2500,104
2958,131
3273,81
4133,122
3620,25
2484,137
1977,50
4188,115
1759,131
4288,133
3052,100
7333,120
2071,94
5316,136
2929,139
5050,118
2214,85
4166,44
2137,137
2957,81
3692,93
2014,74
2718,70
3459,25
4895,102
4583,84
3316,88
4200,129
2698,122
2330,100
1538,30
4860,125
6277,118
2281,113
3254,50
2980,120
1863,98
3089,121
9323,75
4583,112
2439,129
2237,63
1820,95
3522,81
4344,87
3497,116
2045,101
3750,116
2333,102
1916,67
4600,73
3625,108
2178,66
2383,58
4885,48
3858,76
4191,120
1907,120
3416,113
2600,90
3500,135
3917,124
4408,120
3244,80
3975,55
2479,59
3418,127
3430,128
5703,130
3173,137
3850,100
150,135
3727,131
5000,72
4283,127
2221,60
4009,116
2971,144
6250,128
4735,138
2491,104
3716,42
3189,120
3155,140
3463,122
3812,112
3315,96
5819,120
2510,140
6250,108
3406,123
6050,120
9703,112
6608,137
2882,123
1809,90
3427,138
2583,104
6045,115
5250,94
4931,128
2060,134
7200,120
5166,128
4708,150
3418,135
2876,90
3237,30
2833,126
2620,150
3900,90
2750,115
3103,80
4100,124
3927,112
2301,78
1811,54
3158,89
2600,99
3704,120
4124,115
3075,139
4400,127
3153,134
5417,143
4416,110
4666,135
2014,113
1800,93
2875,105
5000,132
1625,96
4000,140
3762,135
2400,104
2917,84
2927,111
2507,56
5746,144
3399,111
3717,120
2058,88
3541,112
2400,115
4342,124
3166,132
4917,130
4333,110
2500,67
4384,117
2935,98
2833,71
5503,70
4160,71
2378,46
3173,74
2583,125
3083,126
2666,95
5500,105
2423,130
3813,116
3875,67
3000,100
4723,81
4750,130
3013,95
6822,141
6216,133
2500,96
5124,124
3062,111
2764,110
4817,120
8750,130
4310,130
3069,71
5391,130
3333,128
7167,128
4566,100
3667,113
2346,132
2333,136
5488,125
2583,120
1993,113
3100,113
3276,135
3180,71
3033,95
3902,109
1500,103
2889,45
2755,65
2500,103
1963,53
4547,115
2167,115
2213,66
3867,62
2253,110
2995,60
1025,112
3246,138
5829,138
2720,80
1820,100
7250,110
2666,121
4606,81
5935,133
2920,87
2717,60
8624,150
6500,105
2425,143
3750,100
1926,50
7142,138
4707,148
3466,130
4652,110
3539,55
3340,150
2309,125
1958,60
3948,149
2483,90
7085,84
3859,96
4301,118
4354,136
7740,128
5191,132
4166,98
6000,140
2947,70
210,98
4333,110
2653,113
4691,100
2500,93
2873,132
3095,113
2083,128
1958,131
3547,80
2435,75
2699,96
3691,110
3597,119
3326,105
2600,107
4625,111
2895,95
645,113
3159,100
4050,138
3814,124
3583,96
3598,100
3283,148
2130,70
3466,150
2031,113
3074,123
3400,95
2192,45
2500,55
5677,100
3775,110
2679,94
6783,130
4281,100
3588,110
2550,126
3617,107
2917,66
4608,140
2138,99
3652,95
2239,128
3017,102
3358,80
2526,145
5000,103
2785,110
3593,132
5468,26
2667,84
3675,108
5800,132
4467,120
3333,70
3400,123
2378,9
3166,104
6406,150
3159,108
3087,136
3229,110
1782,107
1836,90
3166,36
1880,61
2787,146
2297,104
2165,70
4750,94
2726,106
3000,56
3859,142
3833,110
2987,88
5703,128
3232,108
2900,71
4106,40
4583,133
